"filename", "language", "CSS", "Markdown", "JSON", "JavaScript", "wxml", "TypeScript", "XML", "comment", "blank", "total"
"d:\linkworld\recorder\recorder-mp\Readme.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\linkworld\recorder\recorder-mp\app.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 2, 2, 18
"d:\linkworld\recorder\recorder-mp\app.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\linkworld\recorder\recorder-mp\app.wxss", "CSS", 9, 0, 0, 0, 0, 0, 0, 1, 1, 11
"d:\linkworld\recorder\recorder-mp\cloud\getOpenid\config.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\linkworld\recorder\recorder-mp\cloud\getOpenid\index.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 2, 0, 9
"d:\linkworld\recorder\recorder-mp\cloud\getOpenid\package.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.wxml", "wxml", 0, 0, 0, 0, 49, 0, 0, 1, 2, 52
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.js", "JavaScript", 0, 0, 0, 207, 0, 0, 0, 5, 1, 213
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.wxml", "wxml", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.wxml", "wxml", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.wxml", "wxml", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.wxml", "wxml", 0, 0, 0, 0, 50, 0, 0, 0, 2, 52
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\card\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\card\index.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
